地域,得票,率
横浜市鶴見区,4692,3.4
横浜市神奈川区,4850,4.0
横浜市西区,2403,4.5
横浜市中区,2688,3.9
横浜市南区,2560,2.8
横浜市保土ケ谷区,3207,3.2
横浜市磯子区,2173,2.7
横浜市金沢区,2521,2.5
横浜市港北区,8968,4.7
横浜市戸塚区,4419,3.1
横浜市港南区,2976,2.7
横浜市旭区,3028,2.5
横浜市緑区,2904,3.2
横浜市瀬谷区,1310,2.2
横浜市栄区,1741,2.7
横浜市泉区,2126,2.8
横浜市青葉区,6536,4.0
横浜市都筑区,4333,3.9
川崎市川崎区,2897,2.8
川崎市幸区,3610,4.1
川崎市中原区,7552,5.3
川崎市高津区,4955,4.2
川崎市多摩区,4518,3.9
川崎市宮前区,4442,3.7
川崎市麻生区,3374,3.5
相模原市緑区,1520,1.9
相模原市中央区,2810,2.2
相模原市南区,3944,2.8
横須賀市,2813,1.7
平塚市,2406,2.0
鎌倉市,3405,3.7
藤沢市,6436,3.0
小田原市,1711,1.9
茅ヶ崎市,3674,3.0
逗子市,1142,3.7
三浦市,243,1.4
秦野市,1365,1.8
厚木市,2062,2.0
大和市,3213,2.7
伊勢原市,969,2.0
海老名市,2172,3.0
座間市,1366,2.2
南足柄市,265,1.4
綾瀬市,654,1.8
葉山町,463,2.8
寒川町,392,1.9
大磯町,363,2.2
二宮町,328,2.3
中井町,64,1.5
大井町,120,1.5
松田町,78,1.4
山北町,64,1.3
開成町,200,2.1
箱根町,43,0.9
真鶴町,54,1.5
湯河原町,140,1.2
愛川町,201,1.2
清川村,12,0.8
