地域,配布枚数,エリア数,得票率,得票数
三浦市,0,0,6.1,1164
中井町,0,0,6.1,242
二宮町,0,0,8.8,1147
伊勢原市,25,1,7.6,3391
南足柄市,0,0,6.9,1171
厚木市,0,0,7.8,7188
大井町,0,0,6.4,467
大和市,1465,29,8.4,9311
大磯町,184,6,9.6,1395
寒川町,0,0,6.6,1280
小田原市,80,1,7.8,6351
山北町,0,0,5.5,258
川崎市中原区,2286,31,14.3,18673
川崎市多摩区,512,7,11.6,11973
川崎市宮前区,2462,39,11.6,12668
川崎市川崎区,500,4,8.7,7902
川崎市幸区,2354,8,11.7,9419
川崎市高津区,1290,5,12.4,13377
川崎市麻生区,550,4,11.9,10538
平塚市,0,0,8.1,8616
座間市,0,0,8.0,4577
愛川町,0,0,4.8,697
松田町,0,0,6.6,319
横浜市中区,1800,4,11.8,7666
横浜市保土ケ谷区,20,1,10.2,9487
横浜市南区,0,0,9.4,7985
横浜市戸塚区,3065,16,10.7,14339
横浜市旭区,0,0,8.9,10007
横浜市栄区,2002,7,9.5,5718
横浜市泉区,0,0,9.7,6810
横浜市港北区,5915,51,13.4,23939
横浜市港南区,0,0,10.2,10476
横浜市瀬谷区,0,0,8.0,4411
横浜市磯子区,0,0,9.4,7117
横浜市神奈川区,200,1,12.4,14021
横浜市緑区,0,0,10.0,8546
横浜市西区,340,10,13.6,6821
横浜市都筑区,1500,6,11.9,12629
横浜市金沢区,0,0,9.4,8932
横浜市青葉区,2403,21,12.9,20327
横浜市鶴見区,200,1,10.5,13537
横須賀市,0,0,6.7,11604
海老名市,0,0,9.3,6273
清川村,0,0,5.7,76
湯河原町,0,0,6.5,673
相模原市中央区,3490,15,7.7,8916
相模原市南区,2395,13,9.0,11820
相模原市緑区,172,5,7.1,5423
真鶴町,0,0,6.9,212
秦野市,0,0,7.6,4981
箱根町,0,0,5.0,199
綾瀬市,0,0,6.5,2150
茅ヶ崎市,3000,13,10.1,11467
葉山町,0,0,10.1,1660
藤沢市,3950,8,10.1,20708
逗子市,0,0,11.1,3451
鎌倉市,3099,71,11.3,10492
開成町,0,0,7.9,689
